0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.34,0.0,0.0
0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.78,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.11,0.22,0.0,0.0,0.0,0.11,0.23,0.11,0.11
0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17,0.17,0.5,0.0,0.17,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
